Sun;NotApplicable;0;0
Mercury;Sun;57910;87.97
Venus;Sun;108200;224.70
Earth;Sun;149600;365.26
Mars;Sun;227940;686.98
Jupiter;Sun;778330;4332.71
Saturn;Sun;1429400;10759.50
Uranus;Sun;2870990;30685.00
Neptune;Sun;4504300;60190.00
Pluto;Sun;5913520;90550
Moon;Earth;384;27.32
Phobos;Mars;9;0.32
Adrastea;Jupiter;129;0.30
Amalthea;Jupiter;181;0.50
Thebe;Jupiter;222;0.67
Callisto;Jupiter;1883;16.69
Themisto;Jupiter;7507;
Leda;Jupiter;11094;238.72
Himalia;Jupiter;11480;250.57
Lysithea;Jupiter;11720;259.22
Elara;Jupiter;11737;259.65
Ananke;Jupiter;21200;-631
Carme;Jupiter;22600;-692
Pasiphae;Jupiter;23500;-735
Sinope;Jupiter;23700;-758
Iocaste;Jupiter;20216;
Harpalyke;Jupiter;21132;
Praxidike;Jupiter;20964;
Taygete;Jupiter;23312;
Chaldene;Jupiter;23387;
Kalyke;Jupiter;23745;
Callirrhoe;Jupiter;24100;
Megaclite;Jupiter;23911;
Isonoe;Jupiter;23078;
Erinome;Jupiter;23168;
Pan;Saturn;134;0.58
Atlas;Saturn;138;0.60
Prometheus;Saturn;139;0.61
Pandora;Saturn;142;0.63
Epimetheus;Saturn;151;0.69
Janus;Saturn;151;0.69
Mimas;Saturn;186;0.94
Titan;Saturn;1222;15.95
Hyperion;Saturn;1481;21.28
Iapetus;Saturn;3561;79.33
Phoebe;Saturn;12952;-550.48
Cordelia;Uranus;50;0.34
Ophelia;Uranus;54;0.38
Bianca;Uranus;59;0.43
Cressida;Uranus;62;0.46
Desdemona;Uranus;63;0.47
Juliet;Uranus;64;0.49
Portia;Uranus;66;0.51
Rosalind;Uranus;70;0.56
Belinda;Uranus;75;0.62
Puck;Uranus;86;0.76
Oberon;Uranus;583;13.46
Caliban;Uranus;7169;-580
Stephano;Uranus;7948;-674
Sycorax;Uranus;12213;-1289
Prospero;Uranus;16568;-2019
Setebos;Uranus;17681;-2239
Naiad;Neptune;48;0.29
Thalassa;Neptune;50;0.31
Despina;Neptune;53;0.33
Galatea;Neptune;62;0.43
Larissa;Neptune;74;0.55
Triton;Neptune;355;-5.88
Nereid;Neptune;5513;360.13
Nix;Pluto;49;24.86
Hydra;Pluto;65;38.21
